D,L,O,SC,MP,SE,MO,SW,ST,SQ
7,4,11,0,0,0,4,17,5000,2
7,2,6,0,0,0,4.5,0,21120,2
6,2,13,15,0,0,4.5,0,5000,2
7,3,13,0,0,0,4.5,22,5000,2
6,3,14,2,1,0,4.5,0,5000,2
6,3,13,0,1,0,4.5,15,5000,1
7,2,12,10,3,0,4.5,0,5000,2
6,3,4,5,1,0,4.5,0,29000,2
6,5,1,0,0,0,4.5,0,30000,2
4,5,8,7,0,0,4.5,0,14080,0
6,3,14,3,1,0,4.5,0,5000,2
6,3,12,1,1,0,4.5,11,5000,2
5,3,14,3,1,0,4.5,15,5000,1
5,4,14,1,0,0,4.5,19,5000,1
6,3,12,0,2,0,4.5,0,5000,2
6,3,9,0,0,1,4.5,0,5000,2
5,3,10,0,1,0,4.5,2,21120,1
7,2,14,1,0,0,4.5,11,5000,2
6,2,14,0,0,0,4.5,0,5000,2
6,3,13,0,0,0,4.5,0,5000,2
5,3,12,0,1,1,4.5,15,5000,1
6,4,12,1,2,0,4.5,10,5000,1
4,5,7,0,0,0,4.5,0,5000,1
5,3,14,0,0,0,4.5,0,5000,1
6,3,14,0,2,0,4,0,5000,1
6,3,14,0,1,0,4.5,18,5000,2
6,2,15,2,0,0,4.5,18,5000,1
5,3,15,0,1,0,4.5,15,5000,1
4,5,6,0,0,0,4.5,0,30000,1
4,6,9,0,2,0,4,0,5000,1
6,3,12,0,1,0,4,18,5000,1
6,3,14,0,0,0,4.5,0,5000,1
6,3,13,1,0,0,4.5,15,5000,2
5,5,13,0,0,0,4.5,0,5000,1
5,3,11,0,0,1,4.5,10,5000,1
4,6,1,5,0,1,4.5,0,21120,1
5,5,10,10,2,0,4.5,17,5000,1
5,4,14,0,1,0,4.5,21,5000,1
4,6,12,0,0,0,4.5,12,5000,1
6,2,15,2,0,0,4.5,12,5000,2
6,2,14,0,0,0,4.5,0,5000,2
6,3,14,0,1,0,4,10,5000,2
4,5,10,3,2,0,4,0,5000,1
5,4,13,0,2,0,4,14,5000,1
4,4,15,1,1,0,3.5,8,5000,1
4,4,15,0,2,0,4,0,5000,1
6,3,12,0,1,0,4,0,5000,1
5,4,12,0,0,0,4,8,5000,1
5,3,12,0,1,0,4,0,5000,2
5,4,10,0,1,0,4.5,0,5000,1
6,2,11,0,1,0,4,0,5000,2
6,3,15,1,2,0,4,0,5000,1
6,3,14,0,1,0,4.5,12,5000,2
6,3,12,0,2,0,4.5,0,5000,2
6,2,13,0,0,0,4.5,15,5000,2
6,4,12,0,2,0,4.5,15,5000,1
6,2,10,0,1,0,4.5,5,14080,2
6,2,9,0,0,0,4.5,0,5000,2
6,2,13,0,1,0,4.5,0,5000,2
5,2,13,1,0,0,4.5,0,5000,1
5,4,13,0,0,0,4.5,7,5000,1
